"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-01","2025","01","01","","-10.9","","-14.9","","-12.9","","30.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-02","2025","01","02","","-13.1","","-21.3","","-17.2","","35.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-03","2025","01","03","","-19.5","","-25.8","","-22.7","","40.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-04","2025","01","04","","-21.9","","-29.7","","-25.8","","43.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-05","2025","01","05","","-20.7","","-29.1","","-24.9","","42.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-06","2025","01","06","","-14.7","","-25.5","","-20.1","","38.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-07","2025","01","07","","-14.6","","-18.5","","-16.6","","34.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-08","2025","01","08","","-8.4","","-17.7","","-13.1","","31.1","","0.0","","","M","","M","","M","","","18","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-09","2025","01","09","","-0.2","","-10.0","","-5.1","","23.1","","0.0","","","M","","M","","M","","","33","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-10","2025","01","10","","-10.0","","-14.7","","-12.4","","30.4","","0.0","","","M","","M","","M","","","","M","","M"
